Time,Channel A
(s),(V)

-0.59996001,0.00579852
-0.59994001,0.00579852
-0.59992001,0.00579852
-0.59990001,0.00579852
-0.59988001,0.00579852
-0.59986001,0.00579852
-0.59984001,0.01129185
-0.59982001,0.01129185
-0.59980001,0.01129185
-0.59978001,0.01129185
-0.59976001,0.00579852
-0.59974001,0.00579852
-0.59972001,0.00579852
-0.59970001,0.00579852
-0.59968001,0.00579852
-0.59966001,0.00579852
-0.59964001,0.00579852
-0.59962001,0.00579852
-0.59960001,0.00579852
-0.59958001,0.00579852
-0.59956001,0.00579852
-0.59954001,0.00579852
-0.59952001,0.00579852
-0.59950001,0.00579852
-0.59948001,0.00579852
-0.59946001,0.00579852
-0.59944001,0.00579852
-0.59942001,0.00579852
-0.59940001,0.00579852
-0.59938001,0.00579852
-0.59936001,0.00579852
-0.59934001,0.00579852
-0.59932001,0.00579852
-0.59930001,0.00579852
-0.59928001,0.00579852
-0.59926001,0.00579852
-0.59924001,0.00579852
-0.59922001,0.00579852
-0.59920001,0.00030519
-0.59918001,0.00030519
-0.59916001,0.00030519
-0.59914001,0.00030519
-0.59912001,0.00030519
-0.59910001,0.00030519
-0.59908001,0.00030519
-0.59906001,0.00030519
-0.59904001,0.00030519
-0.59902001,0.00030519
-0.59900001,0.00579852
-0.59898001,0.00579852
-0.59896001,0.00579852
-0.59894001,0.01129185
-0.59892001,0.01129185
-0.59890001,0.01129185
-0.59888001,0.01129185
-0.59886001,0.01129185
-0.59884001,0.01129185
-0.59882001,0.01678518
-0.59880001,0.01678518
-0.59878001,0.01678518
-0.59876001,0.01678518
-0.59874001,0.01678518
-0.59872001,0.01678518
-0.59870001,0.01678518
-0.59868001,0.01129185
-0.59866001,0.01129185
-0.59864001,0.01129185
-0.59862001,0.00579852
-0.59860001,0.00579852
-0.59858001,0.00579852
-0.59856001,0.00579852
-0.59854001,0.00579852
-0.59852001,0.00579852
-0.59850001,0.00030519
-0.59848001,0.00030519
-0.59846001,0.00030519
-0.59844001,0.00030519
-0.59842001,0.00030519
-0.59840001,0.00030519
-0.59838001,0.00579852
-0.59836001,0.00579852
-0.59834001,0.00579852
-0.59832001,0.01129185
-0.59830001,0.01129185
-0.59828001,0.01678518
-0.59826001,0.01678518
-0.59824001,0.01678518
-0.59822001,0.01678518
-0.59820001,0.01678518
-0.59818001,0.01678518
-0.59816001,0.01678518
-0.59814001,0.01678518
-0.59812001,0.02227851
-0.59810001,0.02227851
-0.59808001,0.02227851
-0.59806001,0.01678518
-0.59804001,0.01678518
-0.59802001,0.01678518
-0.59800001,0.01678518
-0.59798001,0.02227851
-0.59796001,0.01678518
-0.59794001,0.02227851
-0.59792001,0.02227851
-0.59790001,0.02227851
-0.59788001,0.02227851
-0.59786001,0.02227851
-0.59784001,0.02227851
-0.59782001,0.02777184
-0.59780001,0.02227851
-0.59778001,0.02227851
-0.59776001,0.02777184
-0.59774001,0.02777184
-0.59772001,0.03326517
-0.59770001,0.03326517
-0.59768001,0.02777184
-0.59766001,0.02777184
-0.59764001,0.02777184
-0.59762001,0.02227851
-0.59760001,0.02227851
-0.59758001,0.02777184
-0.59756001,0.02777184
-0.59754001,0.02777184
-0.59752001,0.02777184
-0.59750001,0.02777184
-0.59748001,0.02777184
-0.59746001,0.02777184
-0.59744001,0.02227851
-0.59742001,0.02227851
-0.59740001,0.01678518
-0.59738001,0.01678518
-0.59736001,0.01678518
-0.59734001,0.01678518
-0.59732001,0.01678518
-0.59730001,0.01678518
-0.59728001,0.01678518
-0.59726001,0.01129185
-0.59724001,0.01678518
-0.59722001,0.01678518
-0.59720001,0.02227851
-0.59718001,0.01678518
-0.59716001,0.02227851
-0.59714001,0.02227851
-0.59712001,0.02227851
-0.59710001,0.02227851
-0.59708001,0.02227851
-0.59706001,0.02227851
-0.59704001,0.02227851
-0.59702001,0.01678518
-0.59700001,0.01678518
-0.59698001,0.01678518
-0.59696001,0.01678518
-0.59694001,0.01678518
-0.59692001,0.01129185
-0.59690001,0.01129185
-0.59688001,0.00579852
-0.59686001,0.00579852
-0.59684001,0.00030519
-0.59682001,0.00030519
-0.59680001,0.00030519
-0.59678001,0.00030519
-0.59676001,0.00030519
-0.59674001,0.00030519
-0.59672001,0.00030519
